"","date","ws","wd","rh","pres","solar","temp_mean","temp_max","temp_min","precip_sum","casos_total","poblacio_total","incidencia_1000","co","no","no2","nox","o3","pm10","pm2.5","so2"
"97",2011-12-22,3.3,282.1,59,1014.3,89.2,13.4,16.9,10.3,0,966,505145,1.91232220451554,0.2,8.25,19.83,32.17,28.55,NA,NA,1.25
"98",2011-12-23,3.4,280.3,60.2,1014.6,98.7,11.4,17.1,7.8,0,223,155141,1.43740210518174,0.2,4.42,13.5,20.54,32.71,NA,NA,1.67
"99",2011-12-24,2.3,269,63.7,1018.7,83.3,10.3,14.9,5.1,0,115,73334,1.56816756211307,0.45,10.12,23.58,38.96,28.25,NA,NA,1.08
"100",2011-12-25,1.6,230.8,55.8,1022.7,99,8.6,15.4,4.1,0,102,68815,1.48223497783913,0.44,16.04,38.83,63.08,15.79,NA,NA,1.68
"101",2011-12-26,1,248.6,60.2,1025.3,95,8.2,14.1,3,0,1386,707218,1.959791747382,0.3,18.67,44.17,72.58,22.33,NA,NA,1.58
"102",2011-12-27,2,132.8,57.6,1023.7,73.4,9.5,16.1,3.9,0,1121,602697,1.85997275579603,0.35,19.04,36.21,65.08,26.08,NA,NA,1
"103",2011-12-28,1.8,270.6,56.2,1020.8,100.2,9.4,15.6,5.4,0,1228,670541,1.83135706839701,0.36,8.96,27.29,40.67,28.75,NA,NA,1.04
"104",2011-12-29,2.5,259,54.7,1018,90.8,9.3,14,5.4,0,1007,541662,1.85909293987764,0.28,4.33,13.46,19.83,48.08,NA,NA,1
"105",2011-12-30,5,304.3,48.9,1016,99,9.5,13.4,6.2,0,206,153069,1.34579830011302,0.2,2.71,8.83,12.88,47.04,NA,NA,1
"106",2011-12-31,3,302,57.8,1014.3,100.8,12,16.6,8,0,118,80462,1.46653078471825,0.2,5.12,16.33,23.92,33.62,NA,NA,1.04
"107",2012-01-01,2.6,278.8,65.5,1013.6,98.5,12.7,17.3,10,0,1444,795223,1.81584285162778,0.22,4.42,14,20.17,43.12,NA,NA,1.21
"108",2012-01-02,4,302.8,52.1,1011.6,93,12.5,16.1,8.2,0.2,1206,718523,1.67844313960722,0.27,7.29,23.5,34.38,34.54,NA,NA,1.17
"109",2012-01-03,2.5,286.9,56.1,1019.5,92.2,9.9,15,7.2,0,1114,646980,1.72184611579956,0.25,17.83,28.46,55.38,25.62,NA,NA,1.22
"110",2012-01-04,3,223.8,66.2,1018.2,89.5,10.3,15.7,5.6,0,837,480117,1.74332506451552,0.3,4.52,14.14,20.43,47.71,NA,NA,1.22
"111",2012-01-05,5.3,303.6,48,1011.1,19.9,11.7,16.1,7.8,0,121,98557,1.22771594102905,0.23,3.54,24.46,29.21,44.46,NA,NA,1.08
"112",2012-01-06,2.9,268.9,62.1,1011.5,79.8,12.7,15.9,9.2,0,285,197910,1.44004850689707,0.34,1.5,12.12,14.38,44.62,NA,NA,1.25
"113",2012-01-07,2.3,281.3,52.5,1017.5,104.4,9.6,14.3,6.4,0,141,111291,1.26694880987681,NA,NA,NA,NA,NA,NA,NA,NA
"114",2012-01-08,2.8,307.3,61.5,1015.8,103.4,9.8,13.5,7.2,0,1481,848692,1.74503824709082,0.52,22.85,47.92,82.69,20.46,NA,NA,1.62
"115",2012-01-09,1.8,263,63.1,1017.9,101.9,9.7,14.5,6.4,0,1117,666588,1.67569773233242,0.65,67.08,68.83,118.86,11.29,NA,NA,1.92
"116",2012-01-10,1.6,264.4,70.6,1020.5,101.9,8.6,14.1,3.9,0,1090,668006,1.63172187076164,0.67,50.5,63,140,12.96,NA,NA,1.25
"117",2012-01-11,1,233.2,76.8,1022.1,89.9,9,14.2,4.9,0,1049,621005,1.68919734945773,0.29,12.62,48.96,67.96,24.29,NA,NA,1.62
"118",2012-01-12,2.2,277.2,72.6,1020.6,99.7,9.3,14,5.9,0,916,541464,1.69170988283616,0.61,28.25,50.42,93.38,16.29,NA,NA,1.58
"119",2012-01-13,1.1,216.9,55.6,1014.9,111.5,7.9,15.1,3.3,0,207,145443,1.42323796951383,0.95,3.17,26.5,30.67,15.17,NA,NA,1
"120",2012-01-14,0.7,193,70.9,1009.9,78,6.4,12.1,2.2,0,151,101482,1.48794860172247,NA,NA,NA,NA,NA,NA,NA,NA
"121",2012-01-15,1.1,161.9,72.8,1007.5,85,8.2,12.9,5.5,0,1574,831792,1.89229999807644,0.56,2.91,40,44.27,46.64,NA,NA,1
"122",2012-01-16,3,90.9,72.6,1006.1,54.6,8.8,12.1,5,0.5,1272,684577,1.85808170592935,0.44,14.62,42.92,65.08,43.46,NA,NA,1.08
"123",2012-01-17,3.1,117.2,67.5,1017,111.5,10.8,14.6,7.5,0,1195,679011,1.75991257873584,0.5,29.43,48.83,93.43,21.96,NA,NA,1.52
"124",2012-01-18,1.7,266.3,63.3,1022.8,112.1,9,14.1,6,0,1090,633705,1.72004323778414,0.72,16.38,45.17,70.04,21.54,NA,NA,1.58
"125",2012-01-19,2.5,276.8,61.2,1024.3,107.5,9,14.5,4.4,0,1107,587070,1.8856354438142,0.97,46,54.59,124.5,16.08,NA,NA,1.45
"126",2012-01-20,1.9,252.8,61.6,1018.5,108.5,11.1,16.8,7.4,0,200,129335,1.54637182510535,0.56,16.21,40.12,64.54,27.04,NA,NA,1.54
