"","date","ws","wd","rh","pres","solar","temp_mean","temp_max","temp_min","precip_sum","casos_total","poblacio_total","incidencia_1000","co","no","no2","nox","o3","pm10","pm2.5","so2","data"
"96",2011-12-21,NA,NA,77.0416666666667,NA,NA,10.2708333333333,15.1,6.6,NA,1120,626043,1.78901449261472,NA,108.58,62.33,228.21,NA,NA,NA,NA,2011-12-21
"97",2011-12-22,NA,NA,61.5,NA,NA,13.2125,17.1,9.6,NA,968,562793,1.71999296366515,NA,40.59,46.91,108.95,NA,NA,NA,NA,2011-12-22
"98",2011-12-23,NA,NA,69.5,NA,NA,10.6541666666667,15,7.1,NA,966,505145,1.91232220451554,NA,28.88,44.12,87.67,NA,NA,NA,NA,2011-12-23
"99",2011-12-24,NA,NA,62.9583333333333,NA,NA,11.2083333333333,14.8,8.2,NA,223,155141,1.43740210518174,NA,12.12,32.58,50.5,NA,NA,NA,NA,2011-12-24
"100",2011-12-25,NA,NA,59.6666666666667,NA,NA,8.56666666666667,12.7,5.5,NA,115,73334,1.56816756211307,NA,25.79,43.17,82.5,NA,NA,NA,NA,2011-12-25
"101",2011-12-26,NA,NA,63.5833333333333,NA,NA,7.825,12.2,5.2,NA,102,68815,1.48223497783913,NA,40.83,48.29,110.67,NA,NA,NA,NA,2011-12-26
"102",2011-12-27,NA,NA,60.625,NA,NA,9.375,15.3,3.8,NA,1386,707218,1.959791747382,NA,33.96,50.42,102,NA,NA,NA,NA,2011-12-27
"103",2011-12-28,NA,NA,66.6666666666667,NA,NA,8.43333333333333,13.5,4.1,NA,1121,602697,1.85997275579603,NA,52.79,60.38,140.67,NA,NA,NA,NA,2011-12-28
"104",2011-12-29,NA,NA,56.4583333333333,NA,NA,9.35416666666667,13.6,5.4,NA,1228,670541,1.83135706839701,NA,39.83,53.74,114.09,NA,NA,NA,NA,2011-12-29
"105",2011-12-30,NA,NA,46.7083333333333,NA,NA,10.5,14.4,6,NA,1007,541662,1.85909293987764,NA,14.29,39.46,61.08,NA,NA,NA,NA,2011-12-30
"106",2011-12-31,NA,NA,56.875,NA,NA,12.3833333333333,16.8,9.6,NA,206,153069,1.34579830011302,NA,8.96,30.62,43.92,NA,NA,NA,NA,2011-12-31
"107",2012-01-01,NA,NA,72.5,NA,NA,11.7125,15.6,8,NA,118,80462,1.46653078471825,NA,22.46,39.83,73.54,NA,NA,NA,NA,2012-01-01
"108",2012-01-02,NA,NA,57.1666666666667,NA,NA,12.6666666666667,16.3,7.8,NA,1444,795223,1.81584285162778,NA,21.08,39.67,71.58,NA,NA,NA,NA,2012-01-02
"109",2012-01-03,NA,NA,56.2916666666667,NA,NA,10.4541666666667,13.8,7.3,NA,1206,718523,1.67844313960722,NA,27.08,49.25,90.58,NA,NA,NA,NA,2012-01-03
"110",2012-01-04,NA,NA,63.1666666666667,NA,NA,11.2333333333333,16.1,8.5,NA,1114,646980,1.72184611579956,NA,19.46,34.79,64.08,NA,NA,NA,NA,2012-01-04
"111",2012-01-05,NA,NA,48.9583333333333,NA,NA,12.1041666666667,15.5,9.6,NA,837,480117,1.74332506451552,NA,22.46,36.96,70.79,NA,NA,NA,NA,2012-01-05
"112",2012-01-06,NA,NA,62.375,NA,NA,13.0041666666667,15.6,9.6,NA,121,98557,1.22771594102905,NA,12.58,32.25,51.08,NA,NA,NA,NA,2012-01-06
"113",2012-01-07,NA,NA,55.9166666666667,NA,NA,9.67916666666667,13.9,6.8,NA,285,197910,1.44004850689707,NA,27.88,45.08,87.46,NA,NA,NA,NA,2012-01-07
"114",2012-01-08,NA,NA,62.3333333333333,NA,NA,9.90416666666667,13.6,6.7,NA,141,111291,1.26694880987681,NA,12.71,30.83,49.92,NA,NA,NA,NA,2012-01-08
"115",2012-01-09,NA,NA,72.1666666666667,NA,NA,8.86666666666667,14.1,5,NA,1481,848692,1.74503824709082,NA,46.75,48.58,119.83,NA,NA,NA,NA,2012-01-09
"116",2012-01-10,NA,NA,73.2083333333333,NA,NA,8.72916666666667,13.3,4.8,NA,1117,666588,1.67569773233242,NA,59.21,53.38,143.67,NA,NA,NA,NA,2012-01-10
"117",2012-01-11,NA,NA,78.625,NA,NA,8.52916666666667,13.1,5,NA,1090,668006,1.63172187076164,NA,90.5,58.75,196.79,NA,NA,NA,NA,2012-01-11
"118",2012-01-12,NA,NA,75.0833333333333,NA,NA,9.02083333333333,13.7,4.8,NA,1049,621005,1.68919734945773,NA,68.83,65.72,170.5,NA,NA,NA,NA,2012-01-12
"119",2012-01-13,NA,NA,64.9583333333333,NA,NA,7.2,13.4,3.2,NA,916,541464,1.69170988283616,NA,40.67,60.12,122.08,NA,NA,NA,NA,2012-01-13
"120",2012-01-14,NA,NA,66.8333333333333,NA,NA,7.13333333333333,11.4,3.4,NA,207,145443,1.42323796951383,NA,39.54,51,111.12,NA,NA,NA,NA,2012-01-14
"121",2012-01-15,NA,NA,72.2083333333333,NA,NA,8.25,10.6,6.7,NA,151,101482,1.48794860172247,NA,32.46,54,103.25,NA,NA,NA,NA,2012-01-15
