,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,no,no2,nox,o3,pm10
64,2011-11-19,4.375,441.041.666.666.667,823.125,967.110.416.666.667,519.375,121.041.666.666.667,13.5,9.9,2.6,182,115720,157.276.183.892.153,NA,NA,NA,NA,NA
65,2011-11-20,539.375,610.625,907.083.333.333.333,96.753.125,928.125,138.229.166.666.667,16.5,12.1,0.1,122,76372,159.744.408.945.687,NA,NA,NA,NA,NA
66,2011-11-21,705.416.666.666.667,51.25,850.416.666.666.667,963.189.583.333.333,477.291.666.666.667,12.7,14.7,11.3,10,1463,710083,206.032.252.567.658,NA,NA,NA,NA,NA
67,2011-11-22,8.225,463.541.666.666.667,816.875,963.345.833.333.333,40,125.833.333.333.333,13.4,11.5,0.9,1061,526459,201.535.162.282.343,NA,NA,NA,NA,NA
68,2011-11-23,3.6,205.041.666.666.667,55.875,97.249.375,118.083.333.333.333,142.604.166.666.667,17.7,12.2,0.1,1052,538174,195.475.812.655.387,NA,NA,NA,NA,NA
69,2011-11-24,143.541.666.666.667,1.595.625,681.875,97.841.875,112.083.333.333.333,1.326.875,16.9,11.5,0,1032,528611,195.228.627.478.429,NA,NA,NA,NA,NA
70,2011-11-25,253.958.333.333.333,1.750.625,664.791.666.666.667,9.799.875,112.770.833.333.333,128.958.333.333.333,17.4,10,0,968,488414,198.192.517.004.017,NA,NA,NA,NA,NA
71,2011-11-26,461.666.666.666.667,214.979.166.666.667,621.875,9.799.625,118.916.666.666.667,10.725,12.8,6.6,0,231,129736,178.053.894.061.787,NA,NA,NA,NA,NA
72,2011-11-27,422.708.333.333.333,45.875,733.333.333.333.333,9.781.875,813.125,107.104.166.666.667,13.5,8.4,0,113,82983,136.172.469.059.928,NA,NA,NA,NA,NA
73,2011-11-28,484.583.333.333.333,31.75,791.875,9.754.625,677.291.666.666.667,109.479.166.666.667,12.9,9.4,0,1705,779792,21.864.804.973.634,NA,NA,NA,NA,NA
74,2011-11-29,447.916.666.666.667,205.729.166.666.667,650.833.333.333.333,9.750.875,100.895.833.333.333,136.479.166.666.667,17.4,11.6,0,1337,649969,205.702.118.101.017,NA,NA,NA,NA,NA
75,2011-11-30,453.958.333.333.333,217.708.333.333.333,634.375,978.295.833.333.334,107.458.333.333.333,12.625,17,10.3,0,1245,608769,204.511.070.701.695,NA,NA,NA,NA,NA
76,2011-12-01,674.791.666.666.667,251.25,765.625,9.759.875,109.083.333.333.333,1.173.125,15.7,9.4,0,1164,577448,201.576.592.177.997,NA,NA,NA,NA,NA
77,2011-12-02,484.375,196.229.166.666.667,713.333.333.333.333,968.872.916.666.667,891.875,120.208.333.333.333,15.1,10.6,0,1126,516125,218.164.204.407.847,NA,NA,NA,NA,NA
78,2011-12-03,541.666.666.666.667,260.541.666.666.667,667.083.333.333.333,97.351.875,912.291.666.666.667,9.4375,11.3,7.2,0,255,168559,151.282.340.308.141,NA,NA,NA,NA,NA
79,2011-12-04,347.916.666.666.667,258.270.833.333.333,675.208.333.333.333,970.991.666.666.667,103.604.166.666.667,9.3125,13.7,7.4,0,128,92536,138.324.543.961.269,NA,NA,NA,NA,NA
80,2011-12-05,5.5125,228.375,70.25,968.372.916.666.667,101.729.166.666.667,956.666.666.666.667,12.9,5.8,0,1496,683219,218.963.465.594.487,NA,NA,NA,NA,NA
81,2011-12-06,528.333.333.333.333,299.520.833.333.333,642.083.333.333.333,97.238.125,104.416.666.666.667,10.25,14,7.9,0,145,102096,142.023.193.856.762,NA,NA,NA,NA,NA
82,2011-12-07,6.2625,264.291.666.666.667,636.875,977.345.833.333.333,107.583.333.333.333,9.8625,13.4,7.5,0,1427,657906,216.900.286.667.092,NA,NA,NA,NA,NA
83,2011-12-08,413.541.666.666.667,132.541.666.666.667,753.333.333.333.333,978.427.083.333.333,847.708.333.333.333,104.270.833.333.333,13.3,8.7,0,118,81089,145.519.120.965.852,NA,NA,NA,NA,NA
84,2011-12-09,438.958.333.333.333,270.145.833.333.333,695.625,9.736.625,832.916.666.666.667,104.520.833.333.333,12.9,8.4,0,1272,627872,202.589.062.738.902,NA,NA,NA,NA,NA
85,2011-12-10,487.916.666.666.667,275.833.333.333.333,683.125,969.177.083.333.333,94.75,927.291.666.666.667,13,7.2,0,237,163146,145.268.655.069.692,NA,NA,NA,NA,NA
86,2011-12-11,350.416.666.666.667,195.020.833.333.333,65.5,968.014.583.333.333,891.666.666.666.667,926.875,13.8,4.4,0,145,108084,13.415.491.654.639,NA,NA,NA,NA,NA
87,2011-12-12,607.291.666.666.667,2.955.625,69.625,970.797.916.666.667,103.229.166.666.667,797.291.666.666.667,13.2,4.4,0,1761,852621,206.539.599.657.996,NA,NA,NA,NA,NA
88,2011-12-13,455.208.333.333.333,233.416.666.666.667,614.375,969.289.583.333.333,849.791.666.666.667,973.541.666.666.667,13.5,7.3,0,1300,674247,192.807.680.271.473,NA,NA,NA,NA,NA
89,2011-12-14,329.583.333.333.333,210.208.333.333.333,604.375,969.291.666.666.667,84.25,119.854.166.666.667,16.5,9.7,0,1205,665515,181.062.785.962.751,NA,NA,NA,NA,NA
90,2011-12-15,343.125,249.291.666.666.667,572.083.333.333.333,974.010.416.666.667,864.791.666.666.667,934.375,12.7,7.4,0,1096,610242,179.600.879.651.024,NA,NA,NA,NA,NA
91,2011-12-16,663.125,242.666.666.666.667,546.041.666.666.667,963.295.833.333.333,509.166.666.666.667,105.458.333.333.333,13.5,7.3,0,1052,572096,183.885.222.060.633,NA,NA,NA,NA,NA
92,2011-12-17,608.125,280.354.166.666.667,607.083.333.333.333,965.745.833.333.333,104.979.166.666.667,649.375,10.5,4.4,0,223,161173,138.360.643.532.105,NA,NA,NA,NA,NA
93,2011-12-18,787.708.333.333.333,3.271.875,461.041.666.666.667,968.604.166.666.667,105.333.333.333.333,556.458.333.333.333,9.6,3,0,110,75248,146.183.287.263.449,NA,NA,NA,NA,NA
94,2011-12-19,6.0375,2.598.125,463.125,973.095.833.333.333,801.875,533.541.666.666.667,8.5,3.2,0,1549,780298,198.513.901.099.324,NA,NA,NA,NA,NA
